gene_symbol,statistic,dm,p.value,mean_pnet,mean_norm,pval_log
A4GALT,1.071434595635942,0.05201987674585279,0.3034628030023995,0.22126642600076396,0.1692465492549112,0.517894535036262
AACS,0.056445694902949865,0.0026980918303981943,0.9558450940641883,0.0949116936553472,0.092213601824949,0.019612484548354146
AAK1,0.35787023717093946,0.012048933546296298,0.7261840016584349,0.10115622707485304,0.08910729352855674,0.1389533231289862
AARS,0.298112116317766,0.010966633327105457,0.7703288129977544,0.16503987949155302,0.15407324616444756,0.11332385769908829
AARS2,0.25992247889894515,0.015857178819412343,0.7989946911049801,0.14248183821162314,0.12662465939221076,0.09745610633240653
AASDH,-1.629290734018578,-0.0400234818810276,0.12723102619354934,0.039838097359669325,0.07986157924069692,0.8954069699643948
AASS,-0.20463244656138643,-0.007668501024362978,0.8410283371129805,0.10653566506358336,0.11420416608794633,0.0751893710933225
AATF,-0.8668455591744841,-0.024528800165016823,0.40174354124455447,0.08146298264772256,0.10599178281273938,0.3960510965792976
ABAT,0.6707780321029971,0.033773319522280174,0.5141034149842907,0.13072741999152934,0.09695410046924917,0.28894951127805973
ABCA1,-0.608923628857836,-0.02139485161261971,0.5530676412283142,0.0941039166622075,0.11549876827482722,0.2572217504028074
ABCA7,-0.3657268889227356,-0.011958129805498374,0.7204510886564033,0.07629787570550156,0.08825600551099994,0.14239549805285964
ABCB10,0.502138148802613,0.012506200704907017,0.6239675433559648,0.09894455624517322,0.0864383555402662,0.204838000234251
ABCB6,-0.3598897821151154,-0.017287034777614854,0.724708705170233,0.09810345593443394,0.11539049071204878,0.13983652192349091
ABCB8,0.1796297523490613,0.004640600388279598,0.8602128781354744,0.11729227143083858,0.11265167104255897,0.06539405996687439
ABCC8,-0.2159299652659639,-0.006355611208827022,0.8323934983379093,0.07060253388098459,0.07695814508981161,0.07967132063604329
ABCF3,-0.9559415584599908,-0.01985543490904422,0.356541627087534,0.05934011962576843,0.07919555453481264,0.44788975793266655
ABCG2,0.10958878960814289,0.003644672928002149,0.9144091263178165,0.09052029697457327,0.08687562404657112,0.038859448087743304
ABHD1,0.3379126736077468,0.011022012572168227,0.740823483722921,0.11054501665177117,0.09952300407960293,0.13028525919649434
